group	se	rank	jsd	fdr	cn_mean	gene	dist_kb	chrom	start	end
HARA	USE_21598	5	0.5781	0.0	0.649	LRRTM1	586	chr2	80878977	80887761
HARA	USE_13537	6	0.5786	0.0	1.186	CDIN1	196	chr15	36498201	36499275
HARA	USE_13536	7	0.5904	0.0	1.186	CDIN1	196	chr15	36494446	36503060
HARA	USE_42424	8	0.5908	0.0	0.295	DCAF8L1	523	chrX	28498335	28508900
HARA	USE_38522	9	0.593	0.0	1.441	NRG1	59	chr8	32303546	32311228
HARA	USE_3277	10	0.5994	0.0	1.016	BRINP3	189	chr1	190475473	190478601
HARA	USE_30321	11	0.6006	0.0	1.119	PCDH10	458	chr4	133636217	133638365
HARA	USE_22885	12	0.602	0.0	1.065	TMEFF2	1121	chr2	193187953	193199934
HARA	USE_11427	13	0.6023	0.0	0.805	KLF5	269	chr13	73334734	73335999
HARA	USE_11431	14	0.6034	0.0	0.76	KLF5	392	chr13	73450063	73467183
HARA	USE_8875	15	0.6042	0.0	0.738	RERGL	64	chr12	18261576	18267820
HCC1143	USE_33004	1	0.5956	0.0	0.152	HNRNPH1	7	chr5	179622405	179641781
HCC1143	USE_13592	2	0.5985	0.0	1.015	CHST14	15	chr15	40486012	40490083
HCC1143	USE_33005	3	0.601	0.0	0.152	HNRNPH1	0	chr5	179623030	179624821
HCC1143	USE_33003	4	0.6046	0.0	0.152	HNRNPH1	6	chr5	179612577	179623847
HCC1143	USE_36467	5	0.621	0.0	0.604	ZNF727	2549	chr7	61509893	61522540
HCC1143	USE_13335	6	0.6214	0.0	1.075	GOLGA6L6	757	chr15	19775808	19782501
HCC1143	USE_36465	7	0.6223	0.0	0.604	ZNF727	2621	chr7	61438036	61450434
HCC1143	USE_19173	8	0.6279	0.0	0.21	JUNB	3	chr19	12788317	12789471
HCC1143	USE_10812	9	0.6323	0.0	0.853	TUBA3C	2924	chr13	16251005	16255609
HCC1143	USE_27164	10	0.6326	0.0	0.003	GNL3	16	chr3	52669959	52671900
HCC1143	USE_36466	11	0.636	0.0	0.604	ZNF727	2577	chr7	61480799	61494566
HCC1143	USE_42561	12	0.6423	0.0	0.334	NBDY	9	chrX	56763960	56803745
HCC1143	USE_32826	13	0.6429	0.0	1.623	GABRP	40	chr5	170738647	170758330
HCC1143	USE_31207	14	0.6437	0.0	1.279	SPEF2	55	chr5	35770659	35772227
HCC1143	USE_36464	15	0.6449	0.0	0.604	ZNF727	2948	chr7	61115279	61118372
HCC1395	USE_34498	1	0.5562	0.0	0.083	GRIK2	239	chr6	101761049	101762269
HCC1395	USE_34496	2	0.5675	0.0	0.083	GRIK2	383	chr6	101129609	101147212
HCC1395	USE_221	3	0.5841	0.0	0.094	SPSB1	81	chr1	9411053	9413979
HCC1395	USE_11332	4	0.6111	0.0	0.024	HNRNPA1L2	34	chr13	52599750	52617737
HCC1395	USE_32159	5	0.617	0.0	0.059	LMNB1	29	chr5	126775650	126779089
HCC1395	USE_6519	6	0.6183	0.0	0.736	AMPD3	32	chr11	10374727	10376107
HCC1395	USE_20970	7	0.6217	0.0	0.637	PKDCC	33	chr2	42014170	42025069
HCC1395	USE_35450	8	0.6243	0.0	0.653	THBS2	193	chr6	169035109	169047048
HCC1395	USE_23530	9	0.6249	0.0	1.471	COPS8	42	chr2	237127745	237143558
HCC1395	USE_31998	10	0.6254	0.0	0.009	FBXL17	263	chr5	108380786	108387327
HCC1395	USE_11333	11	0.6255	0.0	0.024	HNRNPA1L2	9	chr13	52651722	52653352
HCC1395	USE_16637	12	0.6257	0.0	0.635	CCL2	11	chr17	34235132	34253614
HCC1395	USE_39796	13	0.6258	0.0	1.732	ZHX2	440	chr8	122433552	122441590
HCC1395	USE_20993	14	0.626	0.0	0.721	HAAO	188	chr2	42967525	42968600
HCC1395	USE_30897	15	0.6261	0.0	1.543	IRX1	2	chr5	3594595	3596829
HCC1569	USE_2804	1	0.5777	0.0	0.213	FCGR3B	34	chr1	161589530	161596649
HCC1569	USE_26165	2	0.5883	0.0	1.439	SOX10	4	chr22	37983153	37984013
HCC1569	USE_6750	3	0.5889	0.0	1.41	MPPED2	67	chr11	30413022	30422346
HCC1569	USE_15931	4	0.603	0.0	1.019	FOXL1	141	chr16	86716090	86727127
HCC1569	USE_7557	5	0.6125	0.0	1.373	DGAT2	20	chr11	75800175	75801265
HCC1569	USE_4690	6	0.6134	0.0	1.339	ST8SIA6	69	chr10	17453408	17454737
HCC1569	USE_20252	7	0.6139	0.0	0.927	RNF144A	780	chr2	7772590	7774692
HCC1569	USE_2801	8	0.6197	0.0	1.06	FCGR2A	1	chr1	161512397	161513911
HCC1569	USE_2805	9	0.6197	0.0	0.213	FCGR3B	23	chr1	161593924	161613335
HCC1569	USE_22081	10	0.6198	0.0	1.565	EN1	11	chr2	118805431	118861782
HCC1569	USE_23823	11	0.6199	0.0	2.247	PLCB4	157	chr20	9127032	9129537
HCC1569	USE_19107	12	0.6199	0.0	1.218	RDH8	14	chr19	10027397	10037735
HCC1569	USE_32847	13	0.6217	0.0	1.029	SH3PXD2B	9	chr5	172379522	172381655
HCC1569	USE_31135	14	0.6229	0.0	1.112	MTMR12	61	chr5	32329696	32333031
HCC1569	USE_39606	15	0.6238	0.0	2.311	TRPS1	161	chr8	115770029	115770918
HCC1599	USE_31042	1	0.4972	0.0	0.119	MYO10	62	chr5	16735434	16737015
HCC1599	USE_31041	2	0.5561	0.0	0.119	MYO10	61	chr5	16720659	16754518
HCC1599	USE_22116	3	0.5581	0.0	1.079	TFCP2L1	94	chr2	121152082	121160612
HCC1599	USE_2979	4	0.5719	0.0	1.321	FMO3	22	chr1	171126111	171128551
HCC1599	USE_33230	5	0.5734	0.0	0.872	SSR1	29	chr6	7277190	7279500
HCC1599	USE_20252	6	0.5791	0.0	0.842	RNF144A	780	chr2	7772590	7774692
HCC1599	USE_31043	7	0.5832	0.0	0.119	MYO10	15	chr5	16809203	16820605
HCC1599	USE_2980	8	0.5858	0.0	1.321	FMO3	27	chr1	171126140	171137191
HCC1599	USE_4091	9	0.5859	0.0	1.486	PGBD5	88	chr1	230457927	230460405
HCC1599	USE_15931	10	0.5876	0.0	0.85	FOXL1	141	chr16	86716090	86727127
HCC1599	USE_31868	11	0.5917	0.0	0.838	ARRDC3	245	chr5	91125418	91136363
HCC1599	USE_40637	12	0.5925	0.0	1.111	MPDZ	296	chr9	13484433	13492994
HCC1599	USE_2527	13	0.5946	0.0	1.951	THEM4	18	chr1	151871074	151872995
HCC1599	USE_4996	14	0.5971	0.0	0.996	ANKRD30A	379	chr10	36789306	36809299
HCC1599	USE_22117	15	0.5993	0.0	1.079	TFCP2L1	60	chr2	121174420	121206187
HCC1806	USE_25090	1	0.4738	0.0	0.058	TPTE	129	chr21	10692705	10693094
HCC1806	USE_25089	2	0.4799	0.0	0.058	TPTE	140	chr21	10692560	10716785
HCC1806	USE_25037	3	0.5043	0.0	0.058	TPTE	2628	chr21	7926078	7944654
HCC1806	USE_25057	4	0.5636	0.0	0.058	TPTE	2117	chr21	8445602	8447008
HCC1806	USE_25062	5	0.5648	0.0	0.058	TPTE	1750	chr21	8810062	8815832
HCC1806	USE_25082	6	0.5712	0.0	0.058	TPTE	291	chr21	10270082	10274297
HCC1806	USE_25041	7	0.5758	0.0	0.058	TPTE	2343	chr21	8218698	8221063
HCC1806	USE_25048	8	0.5766	0.0	0.058	TPTE	2303	chr21	8259429	8260856
HCC1806	USE_25047	9	0.5769	0.0	0.058	TPTE	2313	chr21	8249666	8251942
HCC1806	USE_25056	10	0.5771	0.0	0.058	TPTE	2131	chr21	8432037	8433039
HCC1806	USE_25064	11	0.5801	0.0	0.058	TPTE	1520	chr21	9042101	9043598
HCC1806	USE_25063	12	0.5829	0.0	0.058	TPTE	1576	chr21	8986683	8988701
HCC1806	USE_25045	13	0.5831	0.0	0.058	TPTE	2322	chr21	8240174	8241621
HCC1806	USE_25060	14	0.5866	0.0	0.058	TPTE	2095	chr21	8467751	8469193
HCC1806	USE_25054	15	0.5886	0.0	0.058	TPTE	2139	chr21	8423190	8424631
HCC1937	USE_14098	1	0.5897	0.0	0.008	PAQR5	46	chr15	69298916	69315048
HCC1937	USE_14099	2	0.6096	0.0	0.033	KIF23	32	chr15	69383021	69415029
HCC1937	USE_23684	3	0.6138	0.0	0.006	SIRPB1	19	chr20	1565896	1576694
HCC1937	USE_23491	4	0.6217	0.0	0.071	SH3BP4	302	chr2	235299815	235312765
HCC1937	USE_23687	5	0.6334	0.0	1.725	SIRPG	75	chr20	1718658	1720190
HCC1937	USE_5381	6	0.634	0.0	0.567	SPOCK2	6	chr10	72079848	72081716
HCC1937	USE_28388	7	0.6363	0.0	1.964	RARRES1	17	chr3	158731607	158733038
HCC1937	USE_6661	8	0.6399	0.0	0.0	E2F8	39	chr11	19265633	19278372
HCC1937	USE_14376	9	0.6411	0.0	0.287	BNC1	13	chr15	83277681	83289037
HCC1937	USE_14399	10	0.6424	0.0	0.303	ALPK3	13	chr15	84858369	84860417
HCC1937	USE_23492	11	0.6428	0.0	0.071	SH3BP4	324	chr2	235323913	235331943
HCC1937	USE_14662	12	0.644	0.0	0.56	ALDH1A3	17	chr15	100878669	100881062
HCC1937	USE_17920	13	0.644	0.0	0.946	METRNL	4	chr17	83090920	83092467
HCC1937	USE_14481	14	0.6448	0.0	0.825	ANPEP	10	chr15	89806919	89815153
HCC1937	USE_42561	15	0.6449	0.0	0.708	NBDY	9	chrX	56763960	56803745
HCC1954	USE_28389	1	0.6134	0.0	0.951	MFSD1	12	chr3	158762476	158775279
HCC1954	USE_38036	2	0.6153	0.0	0.529	OR4F21	93	chr8	71775	74318
HCC1954	USE_24491	3	0.6198	0.0	1.28	EYA2	51	chr20	46989733	46991455
HCC1954	USE_29550	4	0.6214	0.0	1.029	TLR1	3	chr4	38818768	38821080
HCC1954	USE_4554	5	0.6231	0.0	0.887	GATA3	527	chr10	8581652	8594904
HCC1954	USE_9182	6	0.6243	0.0	0.512	SYT10	178	chr12	33581188	33589199
HCC1954	USE_32826	7	0.6245	0.0	0.982	GABRP	40	chr5	170738647	170758330
HCC1954	USE_41579	8	0.6272	0.0	1.245	PTPN3	100	chr9	109537083	109538396
HCC1954	USE_1289	9	0.6273	0.0	0.989	PLPP3	372	chr1	56190704	56203793
HCC1954	USE_4035	10	0.6291	0.0	1.319	RNF187	44	chr1	228530310	228545016
HCC1954	USE_28853	11	0.6307	0.0	1.429	RTP1	12	chr3	187186263	187187823
HCC1954	USE_30556	12	0.6309	0.0	1.034	RAPGEF2	1087	chr4	160317985	160320528
HCC1954	USE_31868	13	0.631	0.0	1.002	ARRDC3	245	chr5	91125418	91136363
HCC1954	USE_4515	14	0.6312	0.0	0.893	PFKFB3	98	chr10	6297077	6298885
HCC1954	USE_16344	15	0.6319	0.0	0.977	ADORA2B	67	chr17	15892073	15894614
HCC2450	USE_34478	1	0.5059	0.0	0.626	POU3F2	1	chr6	98835032	98836178
HCC2450	USE_31028	2	0.5477	0.0	2.202	FBXL7	270	chr5	15446364	15452792
HCC2450	USE_34489	3	0.5481	0.0	0.716	SIM1	148	chr6	100268848	100284454
HCC2450	USE_37844	4	0.5646	0.0	0.983	ZNF746	84	chr7	149568961	149570562
HCC2450	USE_20845	5	0.5684	0.0	0.983	CRIM1	994	chr2	35455337	35462610
HCC2450	USE_11923	6	0.5695	0.0	1.538	OR4M1	45	chr14	19823407	19824645
HCC2450	USE_4365	7	0.5738	0.0	0.892	OR14K1	4	chr1	247739772	247747701
HCC2450	USE_25204	8	0.5797	0.0	1.198	ADAMTS5	482	chr21	27423675	27425345
HCC2450	USE_11668	9	0.5814	0.0	1.543	CLYBL	54	chr13	99812020	99813456
HCC2450	USE_34491	10	0.5837	0.0	0.716	SIM1	77	chr6	100346419	100349170
HCC2450	USE_35816	11	0.5841	0.0	1.482	HDAC9	205	chr7	18743119	18757011
HCC2450	USE_19355	12	0.5845	0.0	2.055	ZNF431	58	chr19	21221029	21234356
HCC2450	USE_9588	13	0.5849	0.0	0.552	ATP23	432	chr12	58364245	58366127
HCC2450	USE_26978	14	0.5869	0.0	1.074	ZNF662	2	chr3	42913810	42915705
HCC2450	USE_42931	15	0.5879	0.0	0.0	CDY2B	119	chrY	17752533	17767133
HCC38	USE_18343	1	0.6145	0.0	1.424	DSC3	26	chr18	31041450	31043145
HCC38	USE_18342	2	0.6172	0.0	1.424	DSC3	22	chr18	31033840	31043029
HCC38	USE_17696	3	0.6189	0.0	0.032	ST6GALNAC1	26	chr17	76601449	76613711
HCC38	USE_1901	4	0.6199	0.0	1.022	NBPF4	40	chr1	108272393	108274368
HCC38	USE_22081	5	0.621	0.0	0.948	EN1	11	chr2	118805431	118861782
HCC38	USE_1900	6	0.6211	0.0	1.022	NBPF4	36	chr1	108266249	108273553
HCC38	USE_1902	7	0.6212	0.0	1.022	NBPF6	40	chr1	108419859	108422023
HCC38	USE_8336	8	0.6212	0.0	0.363	ETS1	375	chr11	128146363	128148682
HCC38	USE_6736	9	0.6213	0.0	0.001	METTL15	281	chr11	28598772	28599358
HCC38	USE_8246	10	0.6213	0.0	0.375	BLID	42	chr11	122156201	122159717
HCC38	USE_26374	11	0.6223	0.0	1.078	WNT7B	113	chr22	46061664	46062131
HCC38	USE_8247	12	0.6231	0.0	0.375	BLID	63	chr11	122178669	122180341
HCC38	USE_1903	13	0.6233	0.0	1.022	NBPF6	36	chr1	108420821	108428117
HCC38	USE_2016	14	0.627	0.0	0.719	CAPZA1	1	chr1	112640559	112653907
HCC38	USE_39607	15	0.6283	0.0	1.686	TRPS1	170	chr8	115778527	115780834
HCC44	USE_20823	1	0.4209	0.0	0.957	TTC27	191	chr2	32916057	32916777
HCC44	USE_20822	2	0.428	0.0	0.957	TTC27	199	chr2	32900706	32948073
HCC44	USE_3572	3	0.6332	0.0	1.068	RAB7B	27	chr1	205961195	205963303
HCC44	USE_6155	4	0.6355	0.0	0.999	DMBT1	13	chr10	122581978	122596205
HCC44	USE_3108	5	0.6361	0.0	1.063	TDRD5	68	chr1	179708574	179711273
HCC44	USE_24769	6	0.6382	0.0	1.895	FAM209A	0	chr20	56520185	56522220
HCC44	USE_12178	7	0.6412	0.0	0.658	PRORP	39	chr14	35159511	35160733
HCC44	USE_23338	8	0.642	0.0	0.89	SCYGR1	0	chr2	227387600	227388634
HCC44	USE_7529	9	0.6421	0.0	0.883	CHRDL2	16	chr11	74696451	74697942
HCC44	USE_41994	10	0.6433	0.0	1.072	GPR107	23	chr9	130072288	130074137
HCC44	USE_2279	11	0.6439	0.0	1.0	SRGAP2C	3886	chr1	125166890	125183867
HCC44	USE_2283	12	0.6448	0.0	1.217	FAM72C	701	chr1	143262192	143262933
HCC44	USE_23339	13	0.6459	0.0	0.89	SCYGR1	1	chr2	227388370	227389620
HCC44	USE_3258	14	0.6481	0.0	1.033	PTGS2	39	chr1	186715055	186717547
HCC44	USE_35922	15	0.6491	0.0	1.382	NPVF	34	chr7	25260369	25262582
HCC70	USE_13223	1	0.6032	0.0	1.402	EIF5	62	chr14	103273186	103279692
HCC70	USE_38305	2	0.6186	0.0	0.274	INTS10	82	chr8	19746879	19757539
HCC70	USE_28388	3	0.6243	0.0	1.517	RARRES1	17	chr3	158731607	158733038
HCC70	USE_32281	4	0.6335	0.0	0.744	PITX1	8	chr5	135038950	135041116
HCC70	USE_8008	5	0.6359	0.0	1.054	POU2AF1	104	chr11	111298457	111300155
HCC70	USE_38493	6	0.6412	0.0	0.31	RBPMS	88	chr8	30384045	30396427
HCC70	USE_32631	7	0.6439	0.0	0.881	KIF4B	184	chr5	155199470	155201427
HCC70	USE_17498	8	0.645	0.0	0.845	FAM20A	33	chr17	68600026	68603001
HCC70	USE_22097	9	0.6455	0.0	1.015	INHBB	2	chr2	120344217	120348020
HCC70	USE_38543	10	0.6464	0.0	0.216	DUSP26	19	chr8	33614329	33616134
HCC70	USE_31401	11	0.6465	0.0	0.798	ESM1	114	chr5	54881695	54889813
HCC70	USE_38508	12	0.6466	0.0	0.261	PPP2CB	18	chr8	30811976	30812836
HCC70	USE_19203	13	0.6476	0.0	1.154	NANOS3	5	chr19	13864948	13866153
HCC70	USE_23966	14	0.6476	0.0	1.008	SLC24A3	250	chr20	19211917	19223303
HCC70	USE_42226	15	0.6477	0.0	0.894	NRARP	7	chr9	137292954	137294728
HCC827	USE_27280	1	0.5497	0.0	0.711	PTPRG	32	chr3	61956861	61967286
HCC827	USE_39604	2	0.5695	0.0	0.703	TRPS1	130	chr8	115738733	115740177
HCC827	USE_14655	3	0.5708	0.0	0.737	ASB7	115	chr15	100742013	100744216
HCC827	USE_36955	4	0.5768	0.0	1.001	PPP1R9A	96	chr7	94997775	95013000
HCC827	USE_39520	5	0.5825	0.0	0.705	OXR1	62	chr8	106566954	106581470
HCC827	USE_28592	6	0.5826	0.0	1.013	NAALADL2	144	chr3	174973007	174986800
HCC827	USE_12295	7	0.5841	0.0	1.148	RPS29	292	chr14	49286469	49298107
HCC827	USE_12207	8	0.5859	0.0	1.172	NKX2-1	40	chr14	36476859	36479463
HCC827	USE_8865	9	0.5864	0.0	1.369	LMO3	3	chr12	16581055	16585189
HCC827	USE_33709	10	0.5904	0.0	0.832	HLA-G	8	chr6	29814147	29827559
HCC827	USE_34175	11	0.592	0.0	0.765	PKHD1	13	chr6	51856459	51874401
HCC827	USE_41736	12	0.5958	0.0	1.014	BRINP1	613	chr9	118641850	118653578
HCC827	USE_29488	13	0.5973	0.0	1.032	PCDH7	180	chr4	30752974	30754097
HCC827	USE_28328	14	0.5974	0.0	1.061	ARHGEF26	40	chr3	154144409	154153005
HCC827	USE_5225	15	0.5985	0.0	0.731	RHOBTB1	42	chr10	60977065	60978858
HCC95	USE_27262	1	0.6038	0.0	0.092	CFAP20DC	567	chr3	59450428	59452643
HCC95	USE_27261	2	0.6042	0.0	0.092	CFAP20DC	564	chr3	59443779	59452298
HCC95	USE_27263	3	0.6064	0.0	0.092	CFAP20DC	775	chr3	59653807	59665069
HCC95	USE_38522	4	0.6071	0.0	1.815	NRG1	59	chr8	32303546	32311228
HCC95	USE_15316	5	0.6106	0.0	0.98	IGHV3OR16-17	738	chr16	34582904	34583657
HCC95	USE_15325	6	0.614	0.0	1.082	SHCBP1	208	chr16	46380697	46401640
HCC95	USE_3664	7	0.6142	0.0	0.949	CAMK1G	214	chr1	209383348	209384805
HCC95	USE_3663	8	0.619	0.0	0.949	CAMK1G	234	chr1	209363492	209365472
HCC95	USE_19252	9	0.6233	0.0	1.543	CYP4F11	11	chr19	15933823	15935727
HCC95	USE_25083	10	0.6234	0.0	1.767	TPTE	238	chr21	10325590	10326035
HCC95	USE_15315	11	0.6242	0.0	0.98	IGHV3OR16-17	738	chr16	34571620	34596120
HCC95	USE_3404	12	0.6246	0.0	2.713	PKP1	24	chr1	201282872	201284654
HCC95	USE_40024	13	0.625	0.0	1.232	MYC	51	chr8	127686873	127688407
HCC95	USE_6446	14	0.6253	0.0	0.651	HBB	2	chr11	5224660	5234603
HCC95	USE_22304	15	0.6259	0.0	0.036	LRP1B	709	chr2	140464943	140479308
HCT116	USE_42424	1	0.4694	0.0	0.011	DCAF8L1	523	chrX	28498335	28508900
HCT116	USE_35293	2	0.5994	0.0	1.141	SYTL3	22	chr6	158729999	158730329
HCT116	USE_29491	3	0.6096	0.0	1.089	PCDH7	130	chr4	30802162	30803110
HCT116	USE_5964	4	0.61	0.0	1.577	ZDHHC6	82	chr10	112516926	112519884
HCT116	USE_29488	5	0.6158	0.0	1.089	PCDH7	180	chr4	30752974	30754097
HCT116	USE_8470	6	0.6168	0.0	0.936	B3GAT1	456	chr11	134851588	134852235
HCT116	USE_26511	7	0.6176	0.0	0.934	GRM7	620	chr3	7874570	7878170
HCT116	USE_24945	8	0.6177	0.0	1.044	NTSR1	26	chr20	62708469	62709995
HCT116	USE_27751	9	0.6207	0.0	1.053	ZBTB20	78	chr3	114643117	114660699
HCT116	USE_32061	10	0.6207	0.0	1.247	AP3S1	53	chr5	115920467	115942126
HCT116	USE_35292	11	0.6209	0.0	1.141	SYTL3	13	chr6	158720119	158721505
HCT116	USE_29489	12	0.6219	0.0	1.089	PCDH7	163	chr4	30769667	30771020
HCT116	USE_29487	13	0.6234	0.0	1.089	PCDH7	123	chr4	30743986	30875867
HCT116	USE_30108	14	0.6253	0.0	0.967	TACR3	96	chr4	103553235	103559958
HCT116	USE_5962	15	0.6257	0.0	1.577	ZDHHC6	55	chr10	112489900	112492324
HCT15	USE_26978	1	0.5611	0.0	1.077	ZNF662	2	chr3	42913810	42915705
HCT15	USE_10557	2	0.5947	0.0	1.007	RAB35	0	chr12	120104716	120106083
HCT15	USE_22875	3	0.6036	0.0	1.118	MYO1B	172	chr2	191506909	191508342
HCT15	USE_20031	4	0.6041	0.0	0.929	DPRX	21	chr19	53612277	53613869
HCT15	USE_20036	5	0.6099	0.0	0.854	NLRP12	38	chr19	53770205	53771317
HCT15	USE_20037	6	0.6108	0.0	0.854	NLRP12	27	chr19	53770919	53793078
HCT15	USE_19159	7	0.6117	0.0	0.918	ZNF20	4	chr19	12111551	12113175
HCT15	USE_35440	8	0.6126	0.0	0.971	SMOC2	82	chr6	168638280	168641587
HCT15	USE_31343	9	0.6165	0.0	0.971	MRPS30	122	chr5	44691211	44692595
HCT15	USE_26728	10	0.618	0.0	1.055	SGO1	148	chr3	20319699	20323925
HCT15	USE_18169	11	0.619	0.0	0.844	PSMG2	38	chr18	12729801	12731827
HCT15	USE_8908	12	0.6201	0.0	1.037	KCNJ8	49	chr12	21818563	21821099
HCT15	USE_27918	13	0.6229	0.0	1.073	ALDH1L1	25	chr3	126170731	126181629
HCT15	USE_17404	14	0.6253	0.0	1.079	AXIN2	111	chr17	65432979	65435197
HCT15	USE_27919	15	0.6257	0.0	1.073	ALDH1L1	29	chr3	126179128	126181037
HDQP1	USE_11250	1	0.5926	0.0	0.072	ITM2B	29	chr13	48209643	48234381
HDQP1	USE_11389	2	0.6212	0.0	1.765	KLHL1	681	chr13	69221932	69223188
HDQP1	USE_34405	3	0.6252	0.0	1.323	HTR1E	621	chr6	86354736	86356570
HDQP1	USE_5382	4	0.6265	0.0	1.18	SPOCK2	14	chr10	72087355	72089023
HDQP1	USE_23895	5	0.6292	0.0	0.704	BTBD3	434	chr20	12340013	12346420
HDQP1	USE_22437	6	0.63	0.0	0.917	KCNJ3	453	chr2	155230619	155232124
HDQP1	USE_39109	7	0.6305	0.0	1.295	STMN2	247	chr8	79390726	79392084
HDQP1	USE_23021	8	0.6331	0.0	0.161	PARD3B	417	chr2	204664422	204666174
HDQP1	USE_4629	9	0.6336	0.0	1.492	SEPHS1	51	chr10	13382337	13386486
HDQP1	USE_42424	10	0.6345	0.0	0.467	DCAF8L1	523	chrX	28498335	28508900
HDQP1	USE_3815	11	0.6355	0.0	0.786	TGFB2	203	chr1	218598390	218599194
HDQP1	USE_19755	12	0.6371	0.0	1.015	CD177	30	chr19	43325831	43329073
HDQP1	USE_41980	13	0.6371	0.0	0.945	PTGES	5	chr9	129749657	129752886
HDQP1	USE_27619	14	0.6372	0.0	0.924	ALCAM	1026	chr3	104437504	104453494
HDQP1	USE_25154	15	0.6381	0.0	1.291	TMPRSS15	382	chr21	18759164	18760540
HEC1B	USE_6765	1	0.5015	0.0	0.809	EIF3M	67	chr11	32526346	32528110
HEC1B	USE_33677	2	0.5432	0.0	0.242	OR2B6	48	chr6	28001106	28012315
HEC1B	USE_33586	3	0.5492	0.0	0.265	KAAG1	33	chr6	24323127	24325068
HEC1B	USE_35197	4	0.5587	0.0	0.544	CNKSR3	100	chr6	154543297	154555115
HEC1B	USE_33588	5	0.5632	0.0	0.199	KAAG1	22	chr6	24376409	24383254
HEC1B	USE_33585	6	0.5645	0.0	0.265	KAAG1	35	chr6	24301635	24343046
HEC1B	USE_15564	7	0.582	0.0	1.06	RRAD	4	chr16	66918365	66919991
HEC1B	USE_7072	8	0.5836	0.0	0.806	OR10V1	19	chr11	59732220	59733703
HEC1B	USE_33625	9	0.5893	0.0	0.27	SLC17A2	16	chr6	25899419	25911021
HEC1B	USE_33554	10	0.5926	0.0	0.216	SOX4	208	chr6	21801308	21808006
HEC1B	USE_39923	11	0.5934	0.0	0.983	TRIB1	142	chr8	125576037	125577471
HEC1B	USE_28531	12	0.5964	0.0	1.443	TNIK	56	chr3	171314862	171316212
HEC1B	USE_33624	13	0.5987	0.0	0.274	SLC17A3	22	chr6	25874569	25884886
HEC1B	USE_33559	14	0.5998	0.0	0.216	SOX4	283	chr6	21871678	21887943
HEC1B	USE_29974	15	0.6024	0.0	0.561	ARHGAP24	215	chr4	85953064	85956660
HEL	USE_31849	1	0.326	0.0	0.008	MEF2C	238	chr5	89042570	89055715
HEL	USE_31852	2	0.4203	0.0	0.008	MEF2C	461	chr5	89270405	89273154
HEL	USE_31851	3	0.4637	0.0	0.008	MEF2C	454	chr5	89258425	89271415
HEL	USE_31850	4	0.464	0.0	0.008	MEF2C	267	chr5	89072670	89084681
HEL	USE_31848	5	0.496	0.0	0.008	MEF2C	78	chr5	88888955	88890341
HEL	USE_37992	6	0.5044	0.0	0.81	DNAJB6	85	chr7	157461169	157461708
HEL	USE_33060	7	0.5045	0.0	0.663	IRF4	67	chr6	468901	469667
HEL	USE_6276	8	0.5132	0.0	0.654	GLRX3	199	chr10	130360096	130360782
HEL	USE_42264	9	0.5205	0.0	0.635	CRLF2	43	chrX	1151449	1160939
HEL	USE_42278	10	0.5233	0.0	0.635	ASMT	52	chrX	1681426	1682365
HEL	USE_30991	11	0.5238	0.0	0.973	CTNND2	378	chr5	11816662	11817540
HEL	USE_31847	12	0.5247	0.0	0.008	MEF2C	68	chr5	88867930	88890465
HEL	USE_42100	13	0.5265	0.0	0.698	ADAMTSL2	10	chr9	133563787	133564811
HEL	USE_6543	14	0.536	0.0	0.675	CSNK2A3	105	chr11	11246402	11247079
HEL	USE_31843	15	0.5378	0.0	0.008	MEF2C	70	chr5	88732505	88747247
HEPG2	USE_18627	1	0.5863	0.0	0.569	ALPK2	142	chr18	58406891	58417751
HEPG2	USE_19331	2	0.5906	0.0	0.943	SLC25A42	10	chr19	19099112	19099425
HEPG2	USE_14977	3	0.5931	0.0	1.168	NOMO1	9	chr16	14873585	14875006
HEPG2	USE_35414	4	0.6048	0.0	1.366	UNC93A	16	chr6	167309029	167310388
HEPG2	USE_37974	5	0.6097	0.0	1.057	RNF32	46	chr7	156607224	156617092
HEPG2	USE_14845	6	0.6097	0.0	1.7	NAGPA	6	chr16	5035707	5036705
HEPG2	USE_27888	7	0.6138	0.0	1.029	UMPS	39	chr3	124699116	124700889
HEPG2	USE_6377	8	0.6139	0.0	0.994	KRTAP5-6	7	chr11	1689600	1691113
HEPG2	USE_35419	9	0.6146	0.0	1.397	TTLL2	81	chr6	167423391	167424087
HEPG2	USE_22554	10	0.6146	0.0	1.578	SCN1A	68	chr2	166134983	166135977
HEPG2	USE_28895	11	0.6147	0.0	1.045	LPP	224	chr3	188745561	188747333
HEPG2	USE_5949	12	0.6152	0.0	1.123	GPAM	43	chr10	112224985	112227231
HEPG2	USE_31314	13	0.6163	0.0	1.051	SELENOP	32	chr5	42875197	42876392
HEPG2	USE_35407	14	0.6169	0.0	1.366	TCP10L2	45	chr6	167216205	167217192
HEPG2	USE_27903	15	0.6181	0.0	1.025	HEG1	7	chr3	125001630	125004083
HGC27	USE_28201	1	0.3466	0.0	0.685	DIPK2A	789	chr3	144798921	144799737
HGC27	USE_19729	2	0.3951	0.0	0.894	PSG3	67	chr19	42663118	42663850
HGC27	USE_39580	3	0.4339	0.0	1.063	CSMD3	237	chr8	113066771	113068698
HGC27	USE_42706	4	0.4784	0.0	0.662	LRCH2	46	chrX	115125256	115125722
